
Quadro extraído em 04 de Outubro de 2023 (23:52:46)
http://www.ine.pt



Localização geográfica (NUTS - 2013) (1) ;Museus (N.º) por Localização geográfica (NUTS - 2013) -  Anual;;;;;;;;;;Visitantes (N.º) de museus por Localização geográfica (NUTS - 2013) -  Anual;;;;;;;;;;
;Período de referência dos dados;;;;;;;;;;Período de referência dos dados;;;;;;;;;;
;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;
;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
16F1009: Leiria;8;8;8;8;6;4;4;5;5;5;0;155103;30364;96470;110905;111663;98969;111644;97558;86452;
16F1010: Marinha Grande;1;1;2;2;2;1;1;1;2;2;0;11347;8804;27584;28371;? ?;865;460;? ?;? ?;
16F1013: Pedrógão Grande;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16F1015: Pombal;2;2;2;2;2;2;2;2;2;2;0;5251;4975;16375;14727;13295;15020;18358;? ?;8568;
16F1016: Porto de Mós;2;2;2;2;2;2;1;2;2;2;0;? ?;? ?;? ?;? ?;? ?;2390;? ?;? ?;? ?;
16G: Viseu Dão Lafões;12;12;12;11;9;7;8;7;9;8;0;? ?;63621;135870;151772;118628;167730;109061;116633;121100;
16G0901: Aguiar da Beira;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16G1802: Carregal do Sal;1;1;1;1;0;0;0;1;1;1;0;1048;1480;? ?;0;0;0;2665;? ?;3654;
16G1803: Castro Daire;1;1;1;0;0;0;0;1;1;0;0;1287;832;0;0;0;0;1440;? ?;0;
16G1806: Mangualde;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16G1809: Nelas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16G1810: Oliveira de Frades;1;1;1;1;1;1;1;1;1;1;0;347;? ?;? ?;1468;1648;932;796;? ?;861;
16G1811: Penalva do Castelo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16G1814: Santa Comba Dão;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16G1816: São Pedro do Sul;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16G1817: Sátão;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16G1821: Tondela;2;2;2;2;2;1;2;0;0;1;0;? ?;? ?;? ?;? ?;2694;26430;0;0;? ?;
16G1822: Vila Nova de Paiva;2;2;2;2;1;0;0;0;1;0;0;1814;984;3068;2224;0;0;0;? ?;0;
16G1823: Viseu;5;5;5;5;5;5;5;4;5;5;0;55124;39908;94657;? ?;114286;140368;104160;109341;? ?;
16G1824: Vouzela;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16H: Beira Baixa;4;2;4;5;5;6;5;4;4;3;0;? ?;12342;38943;34953;36574;39838;36429;37088;? ?;
16H0502: Castelo Branco;2;0;1;2;2;2;2;2;2;2;0;0;? ?;? ?;? ?;? ?;? ?;? ?;? ?;? ?;
16H0505: Idanha-a-Nova;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
16H0506: Oleiros;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;? ?;0;0;0;0;
16H0507: Penamacor;1;1;1;1;1;1;1;1;1;0;0;3163;4000;8979;7007;8026;9955;11473;? ?;0;
16H0508: Proença-a-Nova;1;1;1;1;1;1;1;1;1;0;0;? ?;? ?;? ?;? ?;14433;? ?;? ?;? ?;0;
16H0511: Vila Velha de Ródão;0;0;1;1;1;1;1;0;0;1;0;0;? ?;3985;? ?;? ?;5000;0;0;4560;
16I: Médio Tejo;16;14;14;13;12;12;12;11;11;9;0;89467;56669;145561;116196;127194;118841;99729;57075;? ?;
16I1401: Abrantes;3;1;0;1;1;1;1;1;1;1;0;943;0;13252;10674;9635;10404;10271;? ?;7801;
16I1402: Alcanena;2;1;1;1;1;1;1;1;1;1;0;138;303;877;685;450;736;2835;? ?;2711;
